"ID","FNAME","LNAME","SEX","AGE","ADDRESS","ZIPCODE","WAGE"
"1","Maggie","Paynne",1,35,"3247 Harrison Street",94122,3.43720088681511
"2","Nettie","Balas",1,57,"4257 Langtown Road",43609,5.88429036967201
"3","Rick","Butler",0,19,"3141 Martha Street",86023,3.06676738515331
"4","James","Marino",0,22,"1001 Driftwood Road",95113,4.39864985276452
"5","Adrian","Murphy",0,35,"4555 Byers Lane",95826,4.90302513047337
"6","Michel","Montoya",0,28,"4283 Virgil Street",32459,10.922174367412
"7","Jason","Hunter",0,43,"3919 Turkey Pen Road",10016,10.7956372150865
"8","Jesus","Lagasse",0,27,"1281 Chandler Hollow Road",15106,6.94715794160347
"9","Dick","Miller",0,33,"3212 Polk Street",85701,8.03917875319223
"10","Michael","Conway",0,27,"2747 Ashwood Drive",51016,8.08475742917989
"11","Russel","Steffen",0,35,"291 Bobcat Drive",20005,12.3259325109354
"12","Jon","Arthur",0,37,"544 Pike Street",92123,9.12004595313918
"13","Jack","Dean",0,41,"1895 Marcus Street",35802,5.64529706337905
"14","Johnn","Pitts",0,45,"2689 Sycamore Lake Road",54301,10.2463953668385
"15","Jim","Corchado",0,44,"1561 Dola Mine Road",27707,8.28271355828251
"16","Earl","Schaffer",0,55,"619 Braxton Street",60423,7.82315060541396
"17","Jerome","Jordan",0,57,"4885 John Avenue",48912,5.96780819495097
"18","Ron","Young",0,44,"81 Willow Oaks Lane",70501,13.1820613163487
"19","Karl","Vaughn",0,33,"2424 Kooter Lane",28150,7.8792913211133
"20","Will","Mauldin",0,51,"301 Ripple Street",48653,10.1990626411754
"21","Alysha","Abbott",1,34,"2588 Barfield Lane",46254,7.78372834133313
"22","Phil","Dye",0,55,"1491 Stoney Lonesome Road",17701,5.90049443646263
"23","Steffen","Morris",0,27,"442 Stroop Hill Road",30093,9.06269622797072
"24","Erick","Walker",0,31,"4917 Allison Avenue",23462,7.12773369826021
"25","Alvin","Swell",0,41,"664 Chicago Avenue",93291,9.3922438167843
"26","Dave","Greer",0,57,"3996 Cecil Street",60062,6.37796126463152
"27","Rahul","Owens",0,26,"140 Werninger Street",77036,4.96133151432374
"28","Raymon","Nobble",0,46,"295 Williams Lane",67214,6.70188960488732
"29","Kelly","Vogt",1,26,"1560 Saint James Drive",17670,3.89671850133286
"30","Jorge","Johnsson",0,26,"1050 Hannah Street",28202,7.6858384229533
"31","Jon","Burger",0,33,"2696 Smithfield Avenue",79401,7.45554506384427
"32","Maria","Clark",1,64,"803 Little Acres Lane",62420,7.93314256262547
"33","Rob","Calvert",0,33,"1275 Wilkinson Court",33901,6.62557635896681
"34","Michel","Wallace",1,24,"2636 Hillcrest Lane",92501,3.98244657695259
"35","David","Bontright",0,37,"4046 Elk Creek Road",30071,8.85662290100614
"36","Alfredo","Burell",0,54,"4000 Simpson Square",73564,9.50761227609325
"37","James","Jennkins",0,38,"2951 Harron Drive",21201,7.89701984437217
"38","Scott","Morris",0,53,"2502 Stonecoal Road",44902,11.9352383095961
"39","Julius","Davis",0,21,"701 Woodbridge Lane",48124,8.04374322848132
"40","Greg","Rosse",0,30,"3358 Davis Lane",80239,9.02869101421895
"41","Dan","Sulivan",0,18,"640 Watson Street",8855,8.26124775516355
"42","Jack","Lagunass",0,34,"672 Meadowcrest Lane",40507,9.95310996035497
"43","Kelvin","Delgado",0,32,"2121 Jefferson Street",23502,6.01029856343991
"44","Marine","Wells",1,31,"3685 Diamond Cove",2903,3.7960127511958
"45","Joe","Dattillo",0,27,"4962 Candlelight Drive",77011,4.12243459838953
"46","Beck","Billington",1,28,"1868 Poe Road",77032,5.65567869434314
"47","Robert","Robertsson",0,34,"721 Elk Avenue",48892,9.16827875716484
"48","Rich","Mooreland",0,29,"1819 Crowfield Road",85012,7.07441567122864
"49","Deandrei","Fullers",0,47,"1463 Lake Forest Drive",11747,6.24325623717608
"50","Richard","Schotfield",0,27,"1711 Marion Street",5403,9.13443829633412
"51","Joseph","Kenedy",0,25,"4489 Zappia Drive",40507,7.99611416188664
"52","Glenne","Bowen",0,35,"2055 Southern Street",11729,14.2017322996388
"53","Conny","Butlers",1,25,"4388 Irish Lane",53703,4.09603327412053
"54","Barbara","Morton",1,34,"1773 Evergreen Lane",90017,5.91838989303328
"55","Oscar","Spyer",0,19,"3378 Walnut Street",39208,5.8886255330773
"56","Barby","Flecher",1,29,"1338 Green Acres Road",27823,6.62267982421851
"57","Ed","Barett",0,36,"3740 Confederate Drive",13088,8.0130446912071
"58","Horace","Voygel",0,29,"4920 Pheasant Ridge Road",19139,5.57361057188678
"59","Johny","Smiths",0,40,"3527 Burke Street",2210,10.515628822166
"60","Robyn","Lawrence",1,46,"4233 Blue Spruce Lane",21076,5.31595951145318
"61","George","MacMahann",0,34,"601 Hinkle Deegan Lake Road",40507,9.57274353779995
"62","Sean","Capute",0,42,"3520 Nuzum Court",14221,10.5396292413729
"63","Will","Rubecheaux",0,64,"4067 Farnum Road",10048,5.45426123998001
"64","Darwin","Gonzales",0,21,"744 Franklin Street",36744,6.74377476573618
"65","Herman","White",0,24,"4352 Rogers Street",45236,10.3175406427992
"66","Greg","Barfield",0,43,"4930 Koontz Lane",91601,7.99682970269558
"67","Michael","Candler",0,37,"2631 Pike Street",92126,8.62571502303812
"68","Glen","Miracle",0,37,"1832 Shearwood Forest Drive",3801,8.90406491106975
"69","Erin","Richmond",1,56,"4486 Lady Bug Drive",11101,8.09561409830039
"70","Ricardo","McLood",0,57,"1571 Cottonwood Lane",37207,6.6267809495191
"71","Christ","Mayier",0,20,"236 Cantebury Drive",10013,7.33064103701781
"72","Ralph","Ross",0,40,"915 Birch  Street",79901,10.3874313310335
"73","David","Curran",0,31,"4368 Park Boulevard",50472,5.68511306342611
"74","German","Willis",0,22,"569 Kenwood Place",33442,3.26227017135759
"75","Mildred","Ross",1,53,"844 Colonial Drive",77461,8.03942772492161
"76","Irman","Myers",1,55,"1075 Maple Lane",35901,4.92096720076181
"77","Anna","Alltman",1,42,"1811 Confederate Drive",13206,9.20673612194979
"78","Fernando","Rice",0,29,"259 Mayo Street",41042,9.33582326250999
"79","George","Irvine",0,30,"1458 Fairfax Drive",8854,9.73684316691293
"80","Edie","Ways",0,53,"2529 Aaron Smith Drive",17401,10.1166422640894
"81","Thomas","Becnel",0,34,"3635 Oakdale Avenue",33440,8.35819596849113
"82","Eddie","Herren",0,34,"420 Stratford Park",47458,11.378264747055
"83","Dorothy","Brooke",1,60,"1943 Irving Place",63366,6.87899746190705
"84","Robin","Thompson",1,35,"2246 Russell Street",2141,7.0158246969581
"85","Theodore","Ducan",0,27,"1871 Hiney Road",89119,10.0979731835202
"86","Matthew","Walker",0,31,"65 Waldeck Street",75247,6.77896197623387
"87","Sean","Mclville",0,35,"3023 White Oak Drive",64108,11.5430711065115
"88","Shelby","Jorge",1,36,"2401 Sycamore Lake Road",53081,8.46887685498368
"89","Vikie","New",1,24,"3343 Rebecca Street",60607,5.191347168346
"90","Rodney","Staley",0,54,"189 Russell Street",1840,8.72851073594163
"91","Bruce","Marrufo",0,20,"3743 West Fork Drive",33324,8.48234955399101
"92","Johny","Baker",0,41,"3140 Oakridge Lane",75234,10.0597962118116
"93","Elmer","Attwood",0,19,"4206 Ruckman Road",73110,7.41155256237143
"94","Elinor","Kendrick",1,28,"1643 Johnson Street",27601,6.45716121765519
"95","Chris","Perez",0,41,"4158 Sycamore Street",95127,9.48595125045319
"96","Douglas","Rhoades",0,26,"2955 Irving Road",43081,6.37363137046196
"97","Sharon","Holliman",1,30,"2629 Filbert Street",19020,7.60286114702512
"98","Damien","Hoover",0,51,"3066 Austin Avenue",31401,13.5756038823403
