"ID","OCCUPATION","SECTOR","UNION","EDUCATION","EXPERIENCE","AGE","SEX","MARR","RACE","SOUTH","FNAME","LNAME","ADDRESS","ZIPCODE"
"1",6,1,0,8,21,35,1,1,2,0,"Maggie","Payne","3247 Harrison Street",94122
"2",6,1,0,9,42,57,1,1,3,0,"Nettie","Balas","4257 Langtown Road",43609
"3",6,1,0,12,1,19,0,0,3,0,"Rickey","Butler","3141 Martha Street",86023
"4",6,0,0,12,4,22,0,0,3,0,"James","Marino","1001 Driftwood Road",95113
"5",6,0,0,12,17,35,0,1,3,0,"Adrian","Murphy","4555 Byers Lane",95826
"6",6,0,1,13,9,28,0,0,3,0,"Michael","Montoya","4283 Virgil Street",32459
"7",6,0,0,10,27,43,0,0,3,1,"Jason","Hunter","3919 Turkey Pen Road",10016
"8",6,0,0,12,9,27,0,0,3,0,"Jesus","Lagasse","1281 Chandler Hollow Road",15106
"9",6,1,0,16,11,33,0,1,3,0,"Richard","Miller","3212 Polk Street",85701
"10",6,0,0,12,9,27,0,0,3,0,"Michael","Conway","2747 Ashwood Drive",51016
"11",6,0,1,12,17,35,0,1,3,0,"Russel","Stephen","291 Bobcat Drive",20005
"12",6,1,1,12,19,37,0,0,3,0,"John","Arthur","544 Pike Street",92123
"13",6,0,0,8,27,41,0,1,3,1,"Jack","Dean","1895 Marcus Street",35802
"14",6,0,1,9,30,45,0,0,3,1,"John","Pitts","2689 Sycamore Lake Road",54301
"15",6,0,0,9,29,44,0,1,3,1,"James","Corchado","1561 Dola Mine Road",27707
"16",6,2,0,12,37,55,0,1,3,0,"Earl","Schaefer","619 Braxton Street",60423
"17",6,0,0,7,44,57,0,1,3,1,"Jerry","Jordan","4885 John Avenue",48912
"18",6,1,1,12,26,44,0,1,3,0,"Ronald","Young","81 Willow Oaks Lane",70501
"19",6,0,0,11,16,33,0,0,3,0,"Karl","Vaughn","2424 Kooter Lane",28150
"20",6,0,0,12,33,51,0,1,3,0,"William","Mauldin","301 Ripple Street",48653
"21",6,1,1,12,16,34,1,1,3,0,"Alisha","Abbott","2588 Barfield Lane",46254
"22",6,1,1,7,42,55,0,1,1,0,"Phillip","Dye","1491 Stoney Lonesome Road",17701
"23",6,0,0,12,9,27,0,0,3,0,"Steven","Morris","442 Stroop Hill Road",30093
"24",6,0,0,11,14,31,0,1,1,1,"Erick","Walker","4917 Allison Avenue",23462
"25",6,0,0,12,23,41,0,1,3,0,"Alvin","Sewell","664 Chicago Avenue",93291
"26",6,1,0,6,45,57,0,1,3,1,"David","Greer","3996 Cecil Street",60062
"27",6,1,0,12,8,26,0,1,3,0,"Raul","Owens","140 Werninger Street",77036
"28",6,0,0,10,30,46,0,1,3,0,"Ramon","Noble","295 Williams Lane",67214
"29",6,1,0,12,8,26,1,1,3,0,"Keli","Vogt","1560 Saint James Drive",17670
"30",6,0,0,12,8,26,0,1,3,0,"Jorge","Johnson","1050 Hannah Street",28202
"31",6,0,0,14,13,33,0,0,3,0,"John","Berger","2696 Smithfield Avenue",79401
"32",6,0,0,12,46,64,1,0,3,1,"Mary","Clark","803 Little Acres Lane",62420
"33",6,0,0,8,19,33,0,1,3,0,"Robert","Calvert","1275 Wilkinson Court",33901
"34",6,0,0,17,1,24,1,0,3,1,"Michele","Wallace","2636 Hillcrest Lane",92501
"35",6,1,0,12,19,37,0,0,3,0,"David","Boatright","4046 Elk Creek Road",30071
"36",6,0,0,12,36,54,0,0,1,0,"Alfredo","Burrell","4000 Simpson Square",73564
"37",6,2,0,12,20,38,0,1,1,1,"James","Jenkins","2951 Harron Drive",21201
"38",6,2,1,12,35,53,0,1,1,0,"Scott","Morris","2502 Stonecoal Road",44902
"39",6,0,0,12,3,21,0,0,3,0,"Julius","Davis","701 Woodbridge Lane",48124
"40",6,1,0,14,10,30,0,1,3,1,"Gregory","Ross","3358 Davis Lane",80239
"41",6,0,0,12,0,18,0,0,3,0,"Daniel","Sullivan","640 Watson Street",8855
"42",6,1,1,14,14,34,0,1,3,1,"Jack","Lagunas","672 Meadowcrest Lane",40507
"43",6,1,0,12,14,32,0,1,3,0,"Kelvin","Delgado","2121 Jefferson Street",23502
"44",6,1,0,9,16,31,1,1,3,0,"Marine","Wells","3685 Diamond Cove",2903
"45",6,2,0,13,8,27,0,0,3,1,"Joseph","Dattilo","4962 Candlelight Drive",77011
"46",6,1,0,7,15,28,1,1,3,1,"Becky","Billington","1868 Poe Road",77032
"47",6,1,0,16,12,34,0,1,3,0,"Robert","Robertson","721 Elk Avenue",48892
"48",6,0,0,10,13,29,0,0,3,1,"Richard","Moreland","1819 Crowfield Road",85012
"49",6,0,1,8,33,47,0,1,3,0,"Deandre","Fuller","1463 Lake Forest Drive",11747
"50",6,1,0,12,9,27,0,1,3,0,"Richard","Schofield","1711 Marion Street",5403
"51",6,0,0,12,7,25,0,1,3,0,"Joseph","Kennedy","4489 Zappia Drive",40507
