ID,WAGE,OCCUPATION,SECTOR,UNION,EDUCATION,EXPERIENCE,AGE,SEX,MARR,RACE,SOUTH,FNAME,LNAME,BDAY,ADDRESS,ZIPCODE
1,3.437200887,6,1,0,8,21,35,1,1,2,0,Maggie,Payne,6/2/83,3247 Harrison Street,94122
2,5.88429037,6,1,0,9,42,57,1,1,3,0,Nettie,Balas,3/22/61,4257 Langtown Road,43609
3,3.066767385,6,1,0,12,1,19,0,0,3,0,Rickey,Butler,5/3/99,3141 Martha Street,86023
4,4.398649853,6,0,0,12,4,22,0,0,3,0,James,Marino,5/30/96,1001 Driftwood Road,95113
5,4.90302513,6,0,0,12,17,35,0,1,3,0,Adrian,Murphy,4/24/83,4555 Byers Lane,95826
6,10.92217437,6,0,1,13,9,28,0,0,3,0,Michael,Montoya,6/25/90,4283 Virgil Street,32459
7,10.79563722,6,0,0,10,27,43,0,0,3,1,Jason,Hunter,9/2/75,3919 Turkey Pen Road,10016
8,6.947157942,6,0,0,12,9,27,0,0,3,0,Jesus,Lagasse,4/16/91,1281 Chandler Hollow Road,15106
9,8.039178753,6,1,0,16,11,33,0,1,3,0,Richard,Miller,4/11/85,3212 Polk Street,85701
10,8.084757429,6,0,0,12,9,27,0,0,3,0,Michael,Conway,3/24/91,2747 Ashwood Drive,51016
11,12.32593251,6,0,1,12,17,35,0,1,3,0,Russel,Stephen,12/7/83,291 Bobcat Drive,20005
12,9.120045953,6,1,1,12,19,37,0,0,3,0,John,Arthur,3/7/81,544 Pike Street,92123
13,5.645297063,6,0,0,8,27,41,0,1,3,1,Jack,Dean,7/16/77,1895 Marcus Street,35802
14,10.24639537,6,0,1,9,30,45,0,0,3,1,John,Pitts,10/11/73,2689 Sycamore Lake Road,54301
15,8.282713558,6,0,0,9,29,44,0,1,3,1,James,Corchado,7/20/74,1561 Dola Mine Road,27707
16,7.823150605,6,2,0,12,37,55,0,1,3,0,Earl,Schaefer,10/2/63,619 Braxton Street,60423
17,5.967808195,6,0,0,7,44,57,0,1,3,1,Jerry,Jordan,1/31/61,4885 John Avenue,48912
18,13.18206132,6,1,1,12,26,44,0,1,3,0,Ronald,Young,11/28/74,81 Willow Oaks Lane,70501
19,7.879291321,6,0,0,11,16,33,0,0,3,0,Karl,Vaughn,12/13/85,2424 Kooter Lane,28150
20,10.19906264,6,0,0,12,33,51,0,1,3,0,William,Mauldin,2/27/67,301 Ripple Street,48653
21,7.783728341,6,1,1,12,16,34,1,1,3,0,Alisha,Abbott,7/26/84,2588 Barfield Lane,46254
22,5.900494436,6,1,1,7,42,55,0,1,1,0,Phillip,Dye,4/10/63,1491 Stoney Lonesome Road,17701
23,9.062696228,6,0,0,12,9,27,0,0,3,0,Steven,Morris,3/10/91,442 Stroop Hill Road,30093
24,7.127733698,6,0,0,11,14,31,0,1,1,1,Erick,Walker,8/17/87,4917 Allison Avenue,23462
25,9.392243817,6,0,0,12,23,41,0,1,3,0,Alvin,Sewell,5/16/77,664 Chicago Avenue,93291
26,6.377961265,6,1,0,6,45,57,0,1,3,1,David,Greer,9/24/61,3996 Cecil Street,60062
27,4.961331514,6,1,0,12,8,26,0,1,3,0,Raul,Owens,3/16/92,140 Werninger Street,77036
28,6.701889605,6,0,0,10,30,46,0,1,3,0,Ramon,Noble,9/5/72,295 Williams Lane,67214
29,3.896718501,6,1,0,12,8,26,1,1,3,0,Keli,Vogt,4/5/92,1560 Saint James Drive,17670
30,7.685838423,6,0,0,12,8,26,0,1,3,0,Jorge,Johnson,12/27/92,1050 Hannah Street,28202
31,7.455545064,6,0,0,14,13,33,0,0,3,0,John,Berger,1/31/85,2696 Smithfield Avenue,79401
32,7.933142563,6,0,0,12,46,64,1,0,3,1,Mary,Clark,4/22/54,803 Little Acres Lane,62420
33,6.625576359,6,0,0,8,19,33,0,1,3,0,Robert,Calvert,5/1/85,1275 Wilkinson Court,33901
34,3.982446577,6,0,0,17,1,24,1,0,3,1,Michele,Wallace,7/31/94,2636 Hillcrest Lane,92501
35,8.856622901,6,1,0,12,19,37,0,0,3,0,David,Boatright,7/20/81,4046 Elk Creek Road,30071
36,9.507612276,6,0,0,12,36,54,0,0,1,0,Alfredo,Burrell,7/26/64,4000 Simpson Square,73564
37,7.897019844,6,2,0,12,20,38,0,1,1,1,James,Jenkins,2/15/80,2951 Harron Drive,21201
38,11.93523831,6,2,1,12,35,53,0,1,1,0,Scott,Morris,10/1/65,2502 Stonecoal Road,44902
39,8.043743228,6,0,0,12,3,21,0,0,3,0,Julius,Davis,11/5/97,701 Woodbridge Lane,48124
40,9.028691014,6,1,0,14,10,30,0,1,3,1,Gregory,Ross,7/24/88,3358 Davis Lane,80239
41,8.261247755,6,0,0,12,0,18,0,0,3,0,Daniel,Sullivan,1/3/01,640 Watson Street,8855
42,9.95310996,6,1,1,14,14,34,0,1,3,1,Jack,Lagunas,5/15/84,672 Meadowcrest Lane,40507
43,6.010298563,6,1,0,12,14,32,0,1,3,0,Kelvin,Delgado,11/19/86,2121 Jefferson Street,23502
44,3.796012751,6,1,0,9,16,31,1,1,3,0,Marine,Wells,5/7/87,3685 Diamond Cove,2903
45,4.122434598,6,2,0,13,8,27,0,0,3,1,Joseph,Dattilo,7/15/91,4962 Candlelight Drive,77011
46,5.655678694,6,1,0,7,15,28,1,1,3,1,Becky,Billington,6/5/90,1868 Poe Road,77032
47,9.168278757,6,1,0,16,12,34,0,1,3,0,Robert,Robertson,2/14/84,721 Elk Avenue,48892
48,7.074415671,6,0,0,10,13,29,0,0,3,1,Richard,Moreland,10/23/89,1819 Crowfield Road,85012
49,6.243256237,6,0,1,8,33,47,0,1,3,0,Deandre,Fuller,3/19/71,1463 Lake Forest Drive,11747
50,9.134438296,6,1,0,12,9,27,0,1,3,0,Richard,Schofield,2/19/91,1711 Marion Street,5403
51,7.996114162,6,0,0,12,7,25,0,1,3,0,Joseph,Kennedy,1/13/93,4489 Zappia Drive,40507
